"latitude","longitude","confidence"
-25.363,130.015,95
-25.302,130.246,78
-25.299,130.239,86
-25.527,127.952,86
-24.702,128.287,73
-24.685,128.311,95
-24.688,128.285,96
-24.693,128.232,73
-24.671,128.309,100
-24.674,128.283,99
-24.657,128.308,100
-24.66,128.282,79
-24.643,128.306,81
-24.645,128.28,80
-24.682,128.305,99
-24.684,128.279,65
-24.689,128.227,72
-24.668,128.304,100
-24.654,128.302,99
-24.622,127.323,74
-23.66,126.333,80
-23.53,124.615,89
-23.532,124.611,93
-21.493,140.733,94
-21.459,140.792,73
-22.637,129.061,84
-19.626,144.456,72
-19.624,144.481,66
-21.673,130.831,98
-21.673,130.826,88
-21.664,130.809,100
-21.611,127.714,100
-19.418,138.693,100
-19.42,138.681,87
-19.422,138.668,84
-19.408,138.691,65
-19.41,138.679,81
-17.288,144.083,76
-19.506,128.417,82
-16.675,137.478,81
-16.677,137.467,99
-16.678,137.456,100
-16.665,137.477,85
-16.667,137.465,100
-16.669,137.454,100
-16.533,137.337,66
-16.421,137.66,94
-16.422,137.648,89
-16.419,137.665,85
-16.421,137.653,87
-16.409,137.663,67
-16.388,137.672,68
-16.378,137.67,77
-14.467,143.714,78
-14.476,143.708,69
-16.241,129.059,72
-13.816,135.721,84
-13.628,136.407,78
-12.828,136.355,69
-12.83,136.344,81
-12.763,136.322,83
-34.887,117.909,73
-34.935,117.51,70
-33.645,123.739,88
-33.63,123.734,100
-33.573,123.714,91
-33.567,123.742,79
-33.574,123.71,93
-33.546,123.768,95
-33.553,123.737,100
-33.56,123.705,100
-33.524,123.794,73
-33.531,123.763,100
-33.539,123.731,100
-33.546,123.7,100
-33.517,123.757,95
-33.517,123.749,71
-34.472,118.219,90
-34.474,118.205,99
-34.477,118.191,100
-34.479,118.177,100
-34.482,118.163,100
-34.462,118.217,100
-34.464,118.203,100
-34.467,118.189,96
-34.469,118.175,83
-34.451,118.214,89
-34.454,118.2,100
-34.456,118.186,100
-34.459,118.172,100
-34.461,118.158,87
-34.446,118.183,71
-34.449,118.169,83
-34.451,118.155,96
-34.454,118.141,100
-34.456,118.128,82
-34.431,118.208,77
-34.444,118.139,82
-34.446,118.125,84
-34.432,118.216,74
-34.446,118.132,92
-34.436,118.13,70
-34.426,118.127,96
-34.429,118.113,100
-34.431,118.099,100
-34.416,118.124,86
-34.419,118.11,94
-34.421,118.096,100
-34.423,118.083,96
-34.351,118.433,100
-34.353,118.419,100
-34.356,118.405,86
-34.413,118.08,93
-34.34,118.431,100
-34.343,118.416,100
-34.346,118.402,100
-34.348,118.387,100
-34.359,118.327,87
-34.403,118.077,87
-34.33,118.428,92
-34.335,118.399,97
-34.338,118.385,95
-34.341,118.37,84
-34.348,118.326,87
-34.351,118.311,78
-34.393,118.074,73
-34.32,118.425,70
-34.328,118.382,98
-34.33,118.367,99
-34.333,118.352,78
-34.338,118.324,90
-34.341,118.31,97
-34.343,118.295,81
-34.356,118.225,94
-34.358,118.211,100
-34.361,118.197,93
-34.363,118.183,100
-34.366,118.169,92
-34.381,118.085,75
-34.32,118.365,93
-34.323,118.35,80
-34.328,118.321,94
-34.331,118.307,94
-34.333,118.293,100
-34.336,118.279,100
-34.338,118.265,73
-34.348,118.209,100
-34.351,118.195,100
-34.353,118.181,100
-34.356,118.167,100
-33.187,123.761,100
-33.195,123.729,100
-34.323,118.29,95
-34.325,118.276,100
-34.328,118.262,100
-34.331,118.248,92
-34.336,118.22,100
-34.338,118.206,100
-34.341,118.192,83
-34.343,118.178,98
-34.346,118.164,100
-34.348,118.15,73
-34.358,118.094,76
-34.361,118.08,70
-34.323,118.315,86
-34.325,118.3,89
-34.328,118.286,100
-34.33,118.272,100
-34.34,118.216,100
-34.342,118.202,100
-34.345,118.188,93
-34.347,118.174,96
-34.35,118.16,96
-34.32,118.269,86
-34.322,118.255,100
-34.325,118.241,96
-34.327,118.227,97
-34.33,118.213,100
-34.332,118.199,100
-34.335,118.185,100
-34.337,118.171,100
-34.34,118.157,98
-34.32,118.211,100
-34.322,118.197,96
-34.325,118.183,88
-34.327,118.168,100
-34.33,118.154,100
-34.334,118.126,100
-34.337,118.112,100
-34.339,118.098,76
-33.19,123.757,100
-33.197,123.726,100
-34.317,118.166,79
-34.319,118.152,96
-34.322,118.138,96
-34.324,118.124,100
-34.327,118.11,100
-33.175,123.752,100
-33.182,123.721,100
-33.19,123.69,75
-33.202,123.367,77
-33.208,123.337,85
-33.2,123.358,83
-33.207,123.329,71
-32.946,123.664,100
-32.953,123.633,95
-33.24,122.361,100
-33.221,122.382,75
-33.227,122.357,100
-33.232,122.331,100
-32.947,123.657,100
-32.954,123.625,68
-33.228,122.377,100
-33.233,122.351,100
-33.239,122.325,81
-33.214,122.373,89
-33.22,122.347,100
-33.225,122.321,100
-33.231,122.296,89
-33.212,122.317,100
-33.218,122.292,100
-33.223,122.266,84
-33.199,122.313,96
-33.204,122.287,100
-33.21,122.262,100
-33.191,122.283,84
-33.196,122.258,100
-33.202,122.233,65
-32.49,123.411,100
-32.497,123.38,81
-32.475,123.406,100
-32.482,123.375,93
-32.482,123.244,81
-32.467,123.239,100
-32.474,123.209,93
-32.476,123.399,97
-32.483,123.368,80
-32.474,123.266,66
-32.481,123.236,100
-32.46,123.261,93
-32.467,123.231,100
-32.473,123.201,66
-32.452,123.227,100
-32.459,123.196,100
-32.438,123.222,93
-32.445,123.192,100
-32.409,123.212,70
-32.41,123.208,85
-32.396,123.203,69
-32.568,122.351,95
-32.573,122.324,67
-32.554,122.347,100
-32.56,122.32,100
-32.546,122.316,95
-32.717,121.259,100
-32.722,121.237,100
-32.726,121.215,100
-32.713,121.274,100
-32.718,121.252,100
-32.722,121.23,100
-32.727,121.207,100
-32.541,122.032,84
-32.705,121.248,100
-32.71,121.226,100
-32.714,121.204,100
-32.719,121.181,100
-32.523,122.053,100
-32.528,122.028,100
-32.533,122.003,100
-32.539,121.978,81
-32.693,121.244,95
-32.697,121.222,100
-32.702,121.2,100
-32.706,121.178,100
-32.711,121.156,100
-32.72,121.112,97
-32.509,122.049,81
-32.515,122.024,100
-32.52,121.999,100
-32.526,121.974,100
-32.68,121.24,100
-32.685,121.218,100
-32.689,121.196,100
-32.694,121.174,78
-32.507,121.995,74
-32.512,121.97,83
-32.672,121.214,67
-32.677,121.192,91
-32.681,121.17,70
-32.664,121.189,100
-32.669,121.167,100
-32.674,121.144,100
-32.652,121.185,83
-32.656,121.163,100
-32.661,121.141,100
-32.644,121.159,100
-32.648,121.137,100
-32.653,121.115,99
-32.666,121.184,100
-32.671,121.162,100
-32.654,121.18,100
-32.658,121.158,100
-32.663,121.136,100
-32.641,121.177,87
-32.646,121.155,100
-32.65,121.132,100
-32.633,121.151,100
-32.638,121.129,100
-32.625,121.125,100
-32.63,121.103,95
-32.617,121.099,93
-32.392,121.533,100
-32.397,121.509,75
-32.417,121.416,82
-32.374,121.553,99
-32.379,121.529,100
-32.384,121.505,93
-32.404,121.412,100
-32.409,121.389,100
-32.414,121.366,100
-32.396,121.53,82
-32.373,121.573,70
-32.378,121.55,100
-32.383,121.526,100
